"id"	"name"	"country"	"compatibility"	"category"	"updated_date"	"size"	"seller"	"rated"	"requirements"	"bundleid"	"average_current"	"total_current"	"average_all"	"total_all"	"current1"	"current2"	"current3"	"current4"	"current5"	"all1"	"all2"	"all3"	"all4"	"all5"	"fullrank_id"	"created_at"	"updated_at"
202	"Kim Kardashian: Hollywood"	"United States"	" Universal"	" Games"	" Mar 05, 2015"	" 76.3 MB"	" Glu Games Inc"	"Rated 12+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.glu.stardomkim"	"4.7"	"427"	"4.7"	"301,780"	"(339)"	"(54)"	"(17)"	"(9)"	"(8)"	"(245,148)"	"(34,406)"	"(12,102)"	"(3,932)"	"(6,192)"	604	"2015-04-01 13:16:29.973797"	"2015-04-01 13:16:29.973797"
203	"WeChat"	"United States"	" Universal"	" Social Networking"	" Mar 30, 2015"	" 63.0 MB"	" Tencent Technology (Shenzhen) Company Limited"	"Rated 12+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.tencent.xin"	"4.4"	"54"	"4.3"	"26,046"	"(40)"	"(7)"	"(1)"	"(2)"	"(4)"	"(18,425)"	"(2,967)"	"(1,408)"	"(827)"	"(2,419)"	607	"2015-04-01 13:16:38.358840"	"2015-04-01 13:16:38.358840"
204	"Magisto - Magical Video Editor"	"United States"	" Universal"	" Photo and Video"	" Mar 26, 2015"	" 24.6 MB"	" Magisto Ltd"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.magisto.magisto"	"4.5"	"934"	"4.6"	"17,260"	"(723)"	"(111)"	"(33)"	"(17)"	"(50)"	"(13,592)"	"(2,025)"	"(611)"	"(313)"	"(719)"	610	"2015-04-01 13:16:45.192211"	"2015-04-01 13:16:45.192211"
205	"Southwest Airlines"	"United States"	" iPhone, iPod touch"	" Travel"	" Mar 30, 2015"	" 31.6 MB"	" Southwest Airlines"	"Rated 4+"	" Requires iOS 5.1.1 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.southwest.iphoneprod"	""	""	"3.1"	"28,961"	""	""	""	""	""	"(8,851)"	"(4,676)"	"(4,606)"	"(3,187)"	"(7,641)"	613	"2015-04-01 13:16:52.315616"	"2015-04-01 13:16:52.315616"
206	"AutoRap by Smule"	"United States"	" Universal"	" Music"	" Apr 01, 2015"	" 37.1 MB"	" Smule"	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.smule.autorap"	"4.6"	"20"	"4.1"	"12,325"	"(16)"	"(2)"	"(1)"	"(0)"	"(1)"	"(7,644)"	"(1,582)"	"(934)"	"(582)"	"(1,583)"	616	"2015-04-01 13:16:59.180879"	"2015-04-01 13:16:59.180879"
207	"WWE"	"United States"	" Universal"	" Entertainment"	" Mar 26, 2015"	" 47.2 MB"	" World Wrestling Entertainment, Inc"	"Rated 12+"	" Requires iOS 7.1 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.wwe.universal"	"4.0"	"145"	"4.1"	"5,853"	"(94)"	"(11)"	"(10)"	"(8)"	"(22)"	"(3,775)"	"(552)"	"(409)"	"(342)"	"(775)"	619	"2015-04-01 13:17:08.335418"	"2015-04-01 13:17:08.335418"
208	"iFunny :)"	"United States"	" Universal"	" Entertainment"	" Mar 26, 2015"	" 24.8 MB"	" Okrujnost'"	"Rated 17+"	" Requires iOS 6.1 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" ru.flysoft.ifunny"	"4.4"	"702"	"3.4"	"70,781"	"(531)"	"(71)"	"(27)"	"(18)"	"(55)"	"(33,718)"	"(7,048)"	"(6,087)"	"(5,070)"	"(18,858)"	622	"2015-04-01 13:17:15.357533"	"2015-04-01 13:17:15.357533"
209	"My Disney Experience - Walt Disney World"	"United States"	" Universal"	" Travel"	" Mar 26, 2015"	" 79.0 MB"	" Disney Electronic Content, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.disney.MyDisneyExperience"	"4.3"	"485"	"3.9"	"11,495"	"(324)"	"(72)"	"(22)"	"(21)"	"(46)"	"(5,844)"	"(2,287)"	"(1,034)"	"(924)"	"(1,406)"	625	"2015-04-01 13:17:22.116174"	"2015-04-01 13:17:22.116174"
210	"Family Guy: The Quest for Stuff"	"United States"	" Universal"	" Games"	" Mar 19, 2015"	" 87.5 MB"	" TinyCo, Inc."	"Rated 17+"	" Requires iOS 5.1.1 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.tinycorp.familyguy"	"4.3"	"1,326"	"4.4"	"81,489"	"(868)"	"(198)"	"(102)"	"(65)"	"(93)"	"(57,299)"	"(13,260)"	"(4,896)"	"(2,203)"	"(3,831)"	628	"2015-04-01 13:17:29.080659"	"2015-04-01 13:17:29.080659"
211	"Venmo"	"United States"	" Universal"	" Finance"	" Mar 26, 2015"	" 17.0 MB"	" The Delancey Corporation, LLC"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5 and iPhone 6."	" net.kortina.labs.Venmo"	"4.2"	"20"	"4.5"	"4,536"	"(14)"	"(2)"	"(0)"	"(1)"	"(3)"	"(3,615)"	"(330)"	"(97)"	"(89)"	"(405)"	631	"2015-04-01 13:17:36.132006"	"2015-04-01 13:17:36.132006"
212	"Private Photo Vault - Ultimate Photo+Video Manager and Downloader"	"United States"	" Universal"	" Photo and Video"	" Mar 14, 2015"	" 26.5 MB"	" Legendary Software Labs LLC"	"Rated 17+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.enchantedcloud.photovault"	"4.5"	"25"	"4.7"	"46,561"	"(20)"	"(1)"	"(2)"	"(0)"	"(2)"	"(39,355)"	"(4,629)"	"(1,052)"	"(429)"	"(1,096)"	634	"2015-04-01 13:17:43.405241"	"2015-04-01 13:17:43.405241"
213	"Cool Fonts"	"United States"	" Universal"	" Entertainment"	" Mar 26, 2015"	" 84.4 MB"	" ALEJANDRO PORTELA TORRES"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.emojizer.cool-fonts"	"4.4"	"8,711"	"4.5"	"34,997"	"(5,903)"	"(1,519)"	"(719)"	"(205)"	"(365)"	"(24,873)"	"(5,747)"	"(2,341)"	"(625)"	"(1,411)"	637	"2015-04-01 13:17:50.138103"	"2015-04-01 13:17:50.138103"
214	"Facebook Pages Manager"	"United States"	" Universal"	" Business"	" Mar 31, 2015"	" 40.9 MB"	" Facebook, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.facebook.PageAdminApp"	""	""	"3.7"	"51,206"	""	""	""	""	""	"(18,893)"	"(13,620)"	"(8,751)"	"(4,697)"	"(5,245)"	640	"2015-04-01 13:17:56.782669"	"2015-04-01 13:17:56.782669"
215	"Video Downloader - Download & Play Any Video"	"United States"	" Universal"	" Photo and Video"	" Mar 27, 2015"	" 32.1 MB"	" Neon Solution Ltd."	"Rated 17+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.appsneon.videodlfree"	"4.6"	"4,198"	"4.5"	"25,330"	"(3,309)"	"(501)"	"(176)"	"(65)"	"(147)"	"(17,875)"	"(4,591)"	"(1,502)"	"(518)"	"(844)"	643	"2015-04-01 13:18:03.731318"	"2015-04-01 13:18:03.731318"
