"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
901	"free"	301	"Emoticons  Emoji Keyboard 2 - Animated Emojis Icons Art, New Pop Emoticon Smileys Stickers for Zoosk,Kik,Whatsapp,Facebook,Twitter,LINE Messenger"	"https://www.appannie.com/apps/ios/app/emoticons-emoji-keyboard-2-animated-emojis-icons-art-new-pop-emoticon-smileys-stickers-for-zooskkikwhatsappfacebooktwitterline-messenger/"	"2015-04-01 12:38:49.584501"	"2015-04-01 12:39:05.128963"
902	"paid"	301	"Pocket Eyes"	"https://www.appannie.com/apps/ios/app/pocket-eyes/"	"2015-04-01 12:38:49.592309"	"2015-04-01 12:39:05.141467"
903	"grossing"	301	"Total Domination - Reborn | Battle Strategy  Warfare"	"https://www.appannie.com/apps/ios/app/total-domination-reborn-battle-strategy-warfare/"	"2015-04-01 12:38:49.600315"	"2015-04-01 12:39:05.150890"
904	"free"	302	"RunKeeper - GPS Running, Walk, Cycling, Workout and Weight Tracker"	"https://www.appannie.com/apps/ios/app/runkeeper-gps-running-walk-cycling-workout-and-weight-tracker/"	"2015-04-01 12:38:49.610580"	"2015-04-01 12:39:05.159147"
905	"paid"	302	"SpotSearch for Spotify (Premium)"	"https://www.appannie.com/apps/ios/app/spotsearch-for-spotify-premium/"	"2015-04-01 12:38:49.619923"	"2015-04-01 12:39:05.168890"
906	"grossing"	302	"CastleVille Legends"	"https://www.appannie.com/apps/ios/app/castleville-legends/"	"2015-04-01 12:38:49.628672"	"2015-04-01 12:39:05.178509"
907	"free"	303	"Dumb Ways to Die 2: The Games"	"https://www.appannie.com/apps/ios/app/dumb-ways-to-die-2-the-games/"	"2015-04-01 12:38:49.637207"	"2015-04-01 12:39:05.187970"
908	"paid"	303	"Feeds for Dubsmash Video Maker"	"https://www.appannie.com/apps/ios/app/feeds-for-dubsmash-video-maker/"	"2015-04-01 12:38:49.645261"	"2015-04-01 12:39:05.198466"
909	"grossing"	303	"Best Fiends"	"https://www.appannie.com/apps/ios/app/best-fiends/"	"2015-04-01 12:38:49.655696"	"2015-04-01 12:39:05.206474"
910	"free"	304	"LINE: Disney Tsum Tsum"	"https://www.appannie.com/apps/ios/app/line-disney-tsum-tsum/"	"2015-04-01 12:38:49.664453"	"2015-04-01 12:39:05.215304"
911	"paid"	304	"Snap-Hack™ Pro for Snapchat - Screenshot save your Snap chats - Snaphack™"	"https://www.appannie.com/apps/ios/app/snap-hacktm-pro-for-snapchat-screenshot-save-your-snap-chats-snaphacktm/"	"2015-04-01 12:38:49.672122"	"2015-04-01 12:39:05.223319"
912	"grossing"	304	"Monster Strike"	"https://www.appannie.com/apps/ios/app/monster-strike/"	"2015-04-01 12:38:49.679867"	"2015-04-01 12:39:05.231185"
913	"free"	305	"Cut the Rope Free"	"https://www.appannie.com/apps/ios/app/cut-the-rope-free/"	"2015-04-01 12:38:49.687545"	"2015-04-01 12:39:05.239215"
914	"paid"	305	"Cleartune - Chromatic Tuner"	"https://www.appannie.com/apps/ios/app/cleartune-chromatic-tuner/"	"2015-04-01 12:38:49.697083"	"2015-04-01 12:39:05.250655"
915	"grossing"	305	"Terra Battle"	"https://www.appannie.com/apps/ios/app/terra-battle/"	"2015-04-01 12:38:49.706330"	"2015-04-01 12:39:05.260795"
916	"free"	306	"Giphy For Messenger"	"https://www.appannie.com/apps/ios/app/giphy-for-messenger/"	"2015-04-01 12:38:49.715690"	"2015-04-01 12:39:05.270251"
