"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
117	"grossing"	39	"Wizard of Oz Slots Free Casino"	"http://www.appannie.com/apps/ios/app/wizard-of-oz-slots-free-casino/"	"2015-03-31 17:34:19.330212"	"2015-03-31 17:34:22.798337"
118	"free"	40	"Clash of Clans"	"http://www.appannie.com/apps/ios/app/clash-of-clans/"	"2015-03-31 17:34:19.341035"	"2015-03-31 17:34:22.809317"
119	"paid"	40	"Sky Guide: View Stars Night or Day"	"http://www.appannie.com/apps/ios/app/sky-guide-view-stars-night/"	"2015-03-31 17:34:19.353569"	"2015-03-31 17:34:22.819862"
120	"grossing"	40	"Covet Fashion - The Game for Dresses, Hairstyles and Shopping"	"http://www.appannie.com/apps/ios/app/covet-fashion-the-game-for-dresses-hairstyles-and-shopping/"	"2015-03-31 17:34:19.361743"	"2015-03-31 17:34:22.829491"
121	"free"	41	"Subway Surfers"	"http://www.appannie.com/apps/ios/app/subway-surfers/"	"2015-03-31 17:34:19.371872"	"2015-03-31 17:34:23.170269"
122	"paid"	41	"TurboScan: quickly scan multipage documents into high-quality PDFs"	"http://www.appannie.com/apps/ios/app/turboscan-quickly-scan-multipage-documents-into-high-quality-pdfs/"	"2015-03-31 17:34:19.382919"	"2015-03-31 17:34:23.229631"
123	"grossing"	41	"Hit it Rich! Free Casino Slots"	"http://www.appannie.com/apps/ios/app/hit-it-rich-free-casino-slots/"	"2015-03-31 17:34:19.391808"	"2015-03-31 17:34:23.244382"
124	"free"	42	"Uber"	"http://www.appannie.com/apps/ios/app/368677368/"	"2015-03-31 17:34:19.403819"	"2015-03-31 17:34:23.257080"
125	"paid"	42	"Downloads — Downloader & Download Manager"	"http://www.appannie.com/apps/ios/app/343307433/"	"2015-03-31 17:34:19.413691"	"2015-03-31 17:34:23.271339"
126	"grossing"	42	"Puzzle & Dragons (English)"	"http://www.appannie.com/apps/ios/app/puzzle-dragons-english/"	"2015-03-31 17:34:19.423671"	"2015-03-31 17:34:23.286408"
127	"free"	43	"Stickman Rush"	"http://www.appannie.com/apps/ios/app/972445725/"	"2015-03-31 17:34:19.433340"	"2015-03-31 17:34:23.298970"
128	"paid"	43	"Fitness Buddy : 1700+ Exercise Workout Trainer and Workout Journal"	"http://www.appannie.com/apps/ios/app/fitness-buddy-1700-exercise-workout-trainer-and-workout-journal/"	"2015-03-31 17:34:19.448144"	"2015-03-31 17:34:23.308723"
129	"grossing"	43	"Jackpot Party Casino - Slots"	"http://www.appannie.com/apps/ios/app/jackpot-party-casino-slots/"	"2015-03-31 17:34:19.468690"	"2015-03-31 17:34:23.320657"
130	"free"	44	"8 Ball Pool™"	"http://www.appannie.com/apps/ios/app/8-ball-pooltm/"	"2015-03-31 17:34:19.480609"	"2015-03-31 17:34:23.331217"
131	"paid"	44	"The Wonder Weeks"	"http://www.appannie.com/apps/ios/app/529815782/"	"2015-03-31 17:34:19.489152"	"2015-03-31 17:34:23.341280"
132	"grossing"	44	"The Hobbit: Kingdoms of Middle-earth"	"http://www.appannie.com/apps/ios/app/the-hobbit-kingdoms-of-middle-earth/"	"2015-03-31 17:34:19.500803"	"2015-03-31 17:34:23.349181"
133	"free"	45	"ZigZag"	"http://www.appannie.com/apps/ios/app/951364656/"	"2015-03-31 17:34:19.509793"	"2015-03-31 17:34:23.358973"
134	"paid"	45	"Grand Theft Auto: San Andreas"	"http://www.appannie.com/apps/ios/app/763692274/"	"2015-03-31 17:34:19.519410"	"2015-03-31 17:34:23.368647"
135	"grossing"	45	"World Series of Poker - WSOP Texas Holdem Free Casino"	"http://www.appannie.com/apps/ios/app/world-series-of-poker-wsop-texas-holdem-free-casino/"	"2015-03-31 17:34:19.528888"	"2015-03-31 17:34:23.378949"
136	"free"	46	"Free Music Play - MP3 Streamer and Playlist Manager"	"http://www.appannie.com/apps/ios/app/free-music-play-mp3-streamer-and-playlist-manager/"	"2015-03-31 17:34:19.538668"	"2015-03-31 17:34:23.387745"
137	"paid"	46	"Doodle Jump"	"http://www.appannie.com/apps/ios/app/doodle-jump/"	"2015-03-31 17:34:19.548714"	"2015-03-31 17:34:23.396650"
